Date of Incident,State,Mine Name,Type of Mine,Shift,Worker Age,Worker Experience (Years),Occupation/Role,Accident Type,Root Cause Category,Injury Severity,Description,PPE Used,No. of Persons Killed,No. of Persons Seriously Injured,Place of Accident,Responsibility,Company
2017-03-19,Chhattisgarh,Chhal OCP,Below Ground,B,42,7.7,Dumper Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Belt Conveyor Line in a Below Ground operation during shift B. Role: Dumper Operator.,No,0,1,Belt Conveyor Line,Worker,SECL
2017-04-14,Uttar Pradesh,Jayant OCP,Below Ground,A,51,6.5,Mining Sirdar,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift A. Role: Mining Sirdar.,Yes,0,2,Development Panel,Worker & Supervisor,NCL
2017-04-14,West Bengal,Sariala Colliery,Below Ground,B,27,7.1,Electrician,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift B. Role: Electrician.,No,0,1,Development Panel,Worker & Supervisor,ECL
2017-04-17,Jharkhand,Kusunda Colliery,Opencast,A,34,6.9,Overman,Ground Movement,Ground Instability,Fatal,Ground Movement incident at Haul Road in a Opencast operation during shift A. Role: Overman.,No,1,0,Haul Road,Management (Design/Safety),BCCL
2017-04-18,Uttar Pradesh,Amlohri OCP,Below Ground,C,26,9.7,Drill Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Working Face in a Below Ground operation during shift C. Role: Drill Operator.,Yes,0,1,Working Face,Worker,NCL
2017-04-21,Odisha,Basundhara OCP,Opencast,B,26,7,Fitter,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Fatal,Falls (Other than Fall of Ground) incident at Pit Floor in a Opencast operation during shift B. Role: Fitter.,Yes,1,0,Pit Floor,Worker,MCL
2017-04-23,Madhya Pradesh,Kusmunda OCP,Opencast,B,42,0,Blaster,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Haul Road in a Opencast operation during shift B. Role: Blaster.,Yes,0,1,Haul Road,Worker & Supervisor,SECL
2017-04-28,Jharkhand,Lodna Colliery,Below Ground,B,27,8.6,Loader/Helper,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at X-Cut / Junction in a Below Ground operation during shift B. Role: Loader/Helper.,No,0,1,X-Cut / Junction,Shared,BCCL
2017-05-07,Uttar Pradesh,Dudhia Khurd,Below Ground,C,41,4.1,Loader/Helper,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift C. Role: Loader/Helper.,No,1,0,Development Panel,Worker & Supervisor,NCL
2017-05-21,Chhattisgarh,Chhal OCP,Above Ground,A,24,0,Blaster,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Stock Yard in a Above Ground operation during shift A. Role: Blaster.,No,0,1,Stock Yard,Worker & Supervisor,SECL
2017-05-25,West Bengal,Rajmahal OCP,Below Ground,B,18,6,HEMM Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at Belt Conveyor Line in a Below Ground operation during shift B. Role: HEMM Operator.,No,1,0,Belt Conveyor Line,Worker & Supervisor,ECL
2017-05-26,Uttar Pradesh,Dudhia Khurd,Below Ground,C,20,1.2,Loader/Helper,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Belt Conveyor Line in a Below Ground operation during shift C. Role: Loader/Helper.,No,0,2,Belt Conveyor Line,Worker,NCL
2017-05-29,West Bengal,Sariala Colliery,Below Ground,A,39,9.7,Blaster,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Working Face in a Below Ground operation during shift A. Role: Blaster.,No,0,1,Working Face,Management (Design/Safety),ECL
2017-06-01,Uttar Pradesh,Amlohri OCP,Below Ground,B,34,6.7,Fitter,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Gate Roadway in a Below Ground operation during shift B. Role: Fitter.,Yes,0,1,Gate Roadway,Maintenance & Management,NCL
2017-06-08,Madhya Pradesh,Umrer OCP,Above Ground,B,28,0,Blaster,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Stock Yard in a Above Ground operation during shift B. Role: Blaster.,No,0,1,Stock Yard,Worker,WCL
2017-06-10,Jharkhand,Kargali OCP,Below Ground,C,35,9.6,Shovel Operator,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Working Face in a Below Ground operation during shift C. Role: Shovel Operator.,Yes,0,1,Working Face,Shared,CCL
2017-07-02,Chhattisgarh,Kusmunda OCP,Below Ground,A,44,0,Shovel Operator,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Development Panel in a Below Ground operation during shift A. Role: Shovel Operator.,No,0,1,Development Panel,Management (Design/Safety),SECL
2017-07-09,Telangana,Kothagudem Area,Below Ground,A,29,6.1,Electrician,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift A. Role: Electrician.,Yes,0,1,Development Panel,Worker & Supervisor,SCCL
2017-07-11,Tamil Nadu,Neyveli Mine IA,Opencast,B,33,7.8,Overman,Ground Movement,Ground Instability,Fatal,Ground Movement incident at Pit Floor in a Opencast operation during shift B. Role: Overman.,Yes,1,0,Pit Floor,Management (Design/Safety),NLC
2017-07-14,Madhya Pradesh,Durgapur OCP,Opencast,C,23,8.4,Electrician,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Shovel-Dumper Face in a Opencast operation during shift C. Role: Electrician.,No,0,1,Shovel-Dumper Face,Worker,WCL
2017-07-17,West Bengal,Sangramgarh Colliery,Below Ground,C,39,6.8,Dumper Operator,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Belt Conveyor Line in a Below Ground operation during shift C. Role: Dumper Operator.,No,0,1,Belt Conveyor Line,Maintenance & Management,ECL
2017-07-17,Jharkhand,Parej East OCP,Below Ground,A,28,9.6,Blaster,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at X-Cut / Junction in a Below Ground operation during shift A. Role: Blaster.,Yes,0,1,X-Cut / Junction,Worker,CCL
2017-07-21,West Bengal,Rajmahal OCP,Below Ground,A,26,0,Electrician,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Development Panel in a Below Ground operation during shift A. Role: Electrician.,Yes,0,1,Development Panel,Worker,ECL
2017-08-23,West Bengal,Sodepur Colliery,Opencast,C,38,0,Electrician,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at Workshop Yard in a Opencast operation during shift C. Role: Electrician.,Yes,1,0,Workshop Yard,Worker & Supervisor,ECL
2017-09-04,Madhya Pradesh,Durgapur OCP,Below Ground,B,30,1.3,Dumper Operator,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Belt Conveyor Line in a Below Ground operation during shift B. Role: Dumper Operator.,No,0,1,Belt Conveyor Line,Management (Design/Safety),WCL
2017-09-06,Chhattisgarh,Kusmunda OCP,Below Ground,C,30,8,Overman,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Working Face in a Below Ground operation during shift C. Role: Overman.,No,0,1,Working Face,Worker & Supervisor,SECL
2017-09-30,Madhya Pradesh,Durgapur OCP,Above Ground,B,25,11.7,Shovel Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Stock Yard in a Above Ground operation during shift B. Role: Shovel Operator.,Yes,0,1,Stock Yard,Worker,WCL
2017-10-04,Jharkhand,Kusunda Colliery,Opencast,C,28,5.2,Dumper Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at OB Dump Slope in a Opencast operation during shift C. Role: Dumper Operator.,Yes,1,0,OB Dump Slope,Worker & Supervisor,BCCL
2017-10-09,Madhya Pradesh,Kusmunda OCP,Opencast,A,39,5.5,Mining Sirdar,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Shovel-Dumper Face in a Opencast operation during shift A. Role: Mining Sirdar.,No,0,1,Shovel-Dumper Face,Worker,SECL
2017-10-13,Telangana,Srirampur Area,Below Ground,C,30,7.8,Fitter,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Working Face in a Below Ground operation during shift C. Role: Fitter.,Yes,0,1,Working Face,Shared,SCCL
2017-10-13,Madhya Pradesh,Amlohri OCP,Below Ground,C,36,10.7,Mining Sirdar,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at X-Cut / Junction in a Below Ground operation during shift C. Role: Mining Sirdar.,Yes,0,1,X-Cut / Junction,Worker,NCL
2017-10-15,Tamil Nadu,Neyveli Mine IA,Below Ground,A,37,4.8,Mining Sirdar,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Gate Roadway in a Below Ground operation during shift A. Role: Mining Sirdar.,No,0,2,Gate Roadway,Management (Design/Safety),NLC
2017-10-16,Madhya Pradesh,Nigahi OCP,Below Ground,A,34,4.1,Electrician,Transportation Machinery (Winding),Mechanical Failure / Procedural,Serious Injury,Transportation Machinery (Winding) incident at X-Cut / Junction in a Below Ground operation during shift A. Role: Electrician.,No,0,1,X-Cut / Junction,Worker & Supervisor,NCL
2017-10-24,Madhya Pradesh,Gevra OCP,Below Ground,B,33,9.1,Electrician,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at X-Cut / Junction in a Below Ground operation during shift B. Role: Electrician.,Yes,0,1,X-Cut / Junction,Worker,SECL
2017-11-02,Jharkhand,Lodna Colliery,Opencast,C,25,0,Electrician,Other Causes,Miscellaneous / Procedural,Fatal,Other Causes incident at Pit Floor in a Opencast operation during shift C. Role: Electrician.,No,1,0,Pit Floor,Shared,BCCL
2017-11-07,Chhattisgarh,Gevra OCP,Above Ground,A,22,13.1,Electrician,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Stock Yard in a Above Ground operation during shift A. Role: Electrician.,No,0,1,Stock Yard,Worker,SECL
2017-11-09,West Bengal,Rajmahal OCP,Below Ground,B,40,2.3,Shovel Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at X-Cut / Junction in a Below Ground operation during shift B. Role: Shovel Operator.,Yes,0,1,X-Cut / Junction,Worker,ECL
2017-11-09,Odisha,Balaram OCP,Above Ground,B,25,1.6,Electrician,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Surface Substation in a Above Ground operation during shift B. Role: Electrician.,Yes,0,1,Surface Substation,Management (Design/Safety),MCL
2017-11-11,Odisha,Basundhara OCP,Opencast,A,23,10.8,Overman,Machinery other than Transportation,Mechanical Failure,Fatal,Machinery other than Transportation incident at Shovel-Dumper Face in a Opencast operation during shift A. Role: Overman.,Yes,1,0,Shovel-Dumper Face,Maintenance & Management,MCL
2017-11-11,West Bengal,Rajmahal OCP,Opencast,A,33,8.7,Mining Sirdar,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Haul Road in a Opencast operation during shift A. Role: Mining Sirdar.,No,0,2,Haul Road,Worker,ECL
2017-11-14,Jharkhand,Katras Colliery,Below Ground,A,30,12,Dumper Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at X-Cut / Junction in a Below Ground operation during shift A. Role: Dumper Operator.,No,0,2,X-Cut / Junction,Worker,BCCL
2017-11-14,Uttar Pradesh,Nigahi OCP,Below Ground,A,39,6.6,Mining Sirdar,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Gate Roadway in a Below Ground operation during shift A. Role: Mining Sirdar.,Yes,0,1,Gate Roadway,Worker,NCL
2017-11-14,Telangana,Srirampur Area,Below Ground,A,50,4.5,Dumper Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Gate Roadway in a Below Ground operation during shift A. Role: Dumper Operator.,No,0,1,Gate Roadway,Worker,SCCL
2017-11-20,Odisha,Basundhara OCP,Above Ground,A,42,8.7,HEMM Operator,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Surface Substation in a Above Ground operation during shift A. Role: HEMM Operator.,Yes,0,1,Surface Substation,Maintenance & Management,MCL
2017-11-20,Telangana,Ramagundam OC,Below Ground,C,40,9.9,Blaster,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift C. Role: Blaster.,No,0,1,Development Panel,Worker & Supervisor,SCCL
2017-11-25,Jharkhand,Parej East OCP,Opencast,C,37,11.8,Overman,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Pit Floor in a Opencast operation during shift C. Role: Overman.,Yes,0,1,Pit Floor,Worker,CCL
2017-12-03,Chhattisgarh,Dipka OCP,Below Ground,B,51,5.6,Mining Sirdar,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Working Face in a Below Ground operation during shift B. Role: Mining Sirdar.,Yes,0,1,Working Face,Worker,SECL
2017-12-13,West Bengal,Sodepur Colliery,Above Ground,A,23,5,Dumper Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Surface Substation in a Above Ground operation during shift A. Role: Dumper Operator.,Yes,0,1,Surface Substation,Worker,ECL
2017-12-15,Uttar Pradesh,Jayant OCP,Opencast,A,42,0,Loader/Helper,Electricity,Electrical Safety,Serious Injury,Electricity incident at OB Dump Slope in a Opencast operation during shift A. Role: Loader/Helper.,Yes,0,1,OB Dump Slope,Maintenance & Management,NCL
2017-12-15,Madhya Pradesh,Chhal OCP,Opencast,C,42,12.5,Shovel Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Pit Floor in a Opencast operation during shift C. Role: Shovel Operator.,Yes,0,1,Pit Floor,Worker,SECL
2017-12-21,Jharkhand,Kusunda Colliery,Below Ground,B,40,5.9,Electrician,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Belt Conveyor Line in a Below Ground operation during shift B. Role: Electrician.,No,0,1,Belt Conveyor Line,Worker & Supervisor,BCCL
2017-12-25,Jharkhand,Katras Colliery,Above Ground,B,46,6.7,Drill Operator,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Stock Yard in a Above Ground operation during shift B. Role: Drill Operator.,Yes,0,1,Stock Yard,Shared,BCCL
2017-12-26,Jharkhand,Lodna Colliery,Opencast,A,42,6.8,Loader/Helper,Machinery other than Transportation,Mechanical Failure,Fatal,Machinery other than Transportation incident at Workshop Yard in a Opencast operation during shift A. Role: Loader/Helper.,No,3,0,Workshop Yard,Maintenance & Management,BCCL
2017-12-27,Maharashtra,Umrer OCP,Below Ground,B,32,1.6,Shovel Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at X-Cut / Junction in a Below Ground operation during shift B. Role: Shovel Operator.,Yes,0,3,X-Cut / Junction,Worker & Supervisor,WCL
2018-01-01,Madhya Pradesh,Jayant OCP,Below Ground,A,28,0.8,Overman,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at X-Cut / Junction in a Below Ground operation during shift A. Role: Overman.,Yes,0,1,X-Cut / Junction,Worker,NCL
2018-01-03,Telangana,Kothagudem Area,Below Ground,A,45,4.2,Overman,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift A. Role: Overman.,No,0,1,Development Panel,Worker & Supervisor,SCCL
2018-01-04,Telangana,Ramagundam OC,Opencast,B,40,9.1,Shovel Operator,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at OB Dump Slope in a Opencast operation during shift B. Role: Shovel Operator.,No,0,1,OB Dump Slope,Shared,SCCL
2018-01-05,Maharashtra,Majri Area,Below Ground,A,35,3.6,Loader/Helper,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Belt Conveyor Line in a Below Ground operation during shift A. Role: Loader/Helper.,Yes,0,1,Belt Conveyor Line,Worker & Supervisor,WCL
2018-01-09,Madhya Pradesh,Chhal OCP,Below Ground,B,33,0.3,Loader/Helper,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Working Face in a Below Ground operation during shift B. Role: Loader/Helper.,Yes,0,1,Working Face,Worker & Supervisor,SECL
2018-01-10,Jharkhand,Katras Colliery,Below Ground,C,19,7,Fitter,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at X-Cut / Junction in a Below Ground operation during shift C. Role: Fitter.,No,0,1,X-Cut / Junction,Maintenance & Management,BCCL
2018-01-10,Madhya Pradesh,Majri Area,Above Ground,A,30,1.7,Blaster,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Weigh Bridge in a Above Ground operation during shift A. Role: Blaster.,No,0,1,Weigh Bridge,Worker,WCL
2018-01-12,Chhattisgarh,Kusmunda OCP,Opencast,B,49,0.6,Shovel Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Fatal,Falls (Other than Fall of Ground) incident at Pit Floor in a Opencast operation during shift B. Role: Shovel Operator.,No,1,0,Pit Floor,Worker,SECL
2018-01-21,Odisha,Ananta OCP,Above Ground,A,21,3.7,Mining Sirdar,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Coal Handling Plant in a Above Ground operation during shift A. Role: Mining Sirdar.,Yes,0,1,Coal Handling Plant,Worker,MCL
2018-01-26,Jharkhand,Katras Colliery,Below Ground,A,35,10.2,Fitter,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Gate Roadway in a Below Ground operation during shift A. Role: Fitter.,Yes,0,1,Gate Roadway,Worker,BCCL
2018-02-01,Madhya Pradesh,Gevra OCP,Below Ground,C,42,9,HEMM Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Development Panel in a Below Ground operation during shift C. Role: HEMM Operator.,No,0,1,Development Panel,Worker,SECL
2018-02-06,Madhya Pradesh,Nigahi OCP,Opencast,C,30,9.1,HEMM Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at Workshop Yard in a Opencast operation during shift C. Role: HEMM Operator.,No,1,0,Workshop Yard,Worker & Supervisor,NCL
2018-02-09,Madhya Pradesh,Kusmunda OCP,Above Ground,B,27,12.9,Mining Sirdar,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Fatal,Falls (Other than Fall of Ground) incident at Workshop in a Above Ground operation during shift B. Role: Mining Sirdar.,Yes,1,0,Workshop,Worker,SECL
2018-02-10,West Bengal,Sangramgarh Colliery,Above Ground,A,33,1.4,Overman,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Coal Handling Plant in a Above Ground operation during shift A. Role: Overman.,No,0,1,Coal Handling Plant,Shared,ECL
2018-02-16,Uttar Pradesh,Nigahi OCP,Opencast,A,34,8.2,Mining Sirdar,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Pit Floor in a Opencast operation during shift A. Role: Mining Sirdar.,No,0,1,Pit Floor,Worker,NCL
2018-02-27,Telangana,Ramagundam OC,Below Ground,A,42,1.2,Blaster,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Gate Roadway in a Below Ground operation during shift A. Role: Blaster.,No,0,1,Gate Roadway,Shared,SCCL
2018-02-27,Jharkhand,Piparwar OCP,Below Ground,A,38,5.8,Overman,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Belt Conveyor Line in a Below Ground operation during shift A. Role: Overman.,Yes,0,1,Belt Conveyor Line,Management (Design/Safety),CCL
2018-03-05,Madhya Pradesh,Dudhia Khurd,Below Ground,A,32,5.9,Drill Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Belt Conveyor Line in a Below Ground operation during shift A. Role: Drill Operator.,Yes,0,1,Belt Conveyor Line,Worker,NCL
2018-03-09,Madhya Pradesh,Dipka OCP,Opencast,B,39,3.8,Dumper Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Workshop Yard in a Opencast operation during shift B. Role: Dumper Operator.,Yes,0,1,Workshop Yard,Worker & Supervisor,SECL
2018-03-16,Madhya Pradesh,Nigahi OCP,Above Ground,A,41,11.2,Overman,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Workshop in a Above Ground operation during shift A. Role: Overman.,Yes,0,1,Workshop,Worker & Supervisor,NCL
2018-03-27,Tamil Nadu,Neyveli Mine IA,Opencast,B,39,1.1,Electrician,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Workshop Yard in a Opencast operation during shift B. Role: Electrician.,No,0,1,Workshop Yard,Worker,NLC
2018-03-28,Madhya Pradesh,Nigahi OCP,Below Ground,B,24,11.8,Drill Operator,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Belt Conveyor Line in a Below Ground operation during shift B. Role: Drill Operator.,No,0,2,Belt Conveyor Line,Shared,NCL
2018-04-02,Maharashtra,Gondegaon OCP,Opencast,C,38,11.6,Blaster,Electricity,Electrical Safety,Fatal,Electricity incident at Shovel-Dumper Face in a Opencast operation during shift C. Role: Blaster.,No,1,0,Shovel-Dumper Face,Maintenance & Management,WCL
2018-04-03,Jharkhand,Kusunda Colliery,Below Ground,C,38,8.9,Loader/Helper,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Belt Conveyor Line in a Below Ground operation during shift C. Role: Loader/Helper.,No,0,1,Belt Conveyor Line,Worker,BCCL
2018-04-12,Maharashtra,Umrer OCP,Below Ground,C,42,1.1,Blaster,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Belt Conveyor Line in a Below Ground operation during shift C. Role: Blaster.,No,0,2,Belt Conveyor Line,Shared,WCL
2018-05-03,Madhya Pradesh,Majri Area,Opencast,B,34,3.4,Shovel Operator,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Workshop Yard in a Opencast operation during shift B. Role: Shovel Operator.,No,0,1,Workshop Yard,Maintenance & Management,WCL
2018-05-16,Madhya Pradesh,Chhal OCP,Opencast,A,40,0,Blaster,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Workshop Yard in a Opencast operation during shift A. Role: Blaster.,No,0,1,Workshop Yard,Maintenance & Management,SECL
2018-05-23,Madhya Pradesh,Dudhia Khurd,Below Ground,C,27,12.2,Blaster,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Working Face in a Below Ground operation during shift C. Role: Blaster.,Yes,0,1,Working Face,Worker & Supervisor,NCL
2018-05-27,Maharashtra,Durgapur OCP,Opencast,A,37,3.7,HEMM Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Shovel-Dumper Face in a Opencast operation during shift A. Role: HEMM Operator.,No,0,1,Shovel-Dumper Face,Worker,WCL
2018-05-27,Uttar Pradesh,Jayant OCP,Above Ground,B,39,13.3,Dumper Operator,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Coal Handling Plant in a Above Ground operation during shift B. Role: Dumper Operator.,Yes,0,1,Coal Handling Plant,Shared,NCL
2018-05-30,Madhya Pradesh,Chhal OCP,Below Ground,B,37,0,HEMM Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift B. Role: HEMM Operator.,Yes,0,1,Development Panel,Worker & Supervisor,SECL
2018-06-10,Telangana,Manuguru OCP,Below Ground,B,41,5,HEMM Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift B. Role: HEMM Operator.,No,0,1,Development Panel,Worker & Supervisor,SCCL
2018-06-27,Odisha,Balaram OCP,Opencast,C,52,4.7,Shovel Operator,Ground Movement,Ground Instability,Fatal,Ground Movement incident at Shovel-Dumper Face in a Opencast operation during shift C. Role: Shovel Operator.,No,1,0,Shovel-Dumper Face,Management (Design/Safety),MCL
2018-06-30,Jharkhand,Rajrappa Project,Opencast,C,32,0.6,Mining Sirdar,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Shovel-Dumper Face in a Opencast operation during shift C. Role: Mining Sirdar.,Yes,0,1,Shovel-Dumper Face,Worker & Supervisor,CCL
2018-07-05,Madhya Pradesh,Amlohri OCP,Above Ground,A,44,11.5,HEMM Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Surface Substation in a Above Ground operation during shift A. Role: HEMM Operator.,No,0,1,Surface Substation,Worker,NCL
2018-07-05,Odisha,Lakhanpur OCP,Opencast,A,39,18.1,Electrician,Machinery other than Transportation,Mechanical Failure,Fatal,Machinery other than Transportation incident at Shovel-Dumper Face in a Opencast operation during shift A. Role: Electrician.,No,1,0,Shovel-Dumper Face,Maintenance & Management,MCL
2018-07-07,Madhya Pradesh,Gevra OCP,Opencast,A,32,3.8,Mining Sirdar,Machinery other than Transportation,Mechanical Failure,Fatal,Machinery other than Transportation incident at OB Dump Slope in a Opencast operation during shift A. Role: Mining Sirdar.,No,1,0,OB Dump Slope,Maintenance & Management,SECL
2018-07-12,Odisha,Lakhanpur OCP,Below Ground,C,51,4.3,Overman,Machinery other than Transportation,Mechanical Failure,Fatal,Machinery other than Transportation incident at Gate Roadway in a Below Ground operation during shift C. Role: Overman.,No,1,0,Gate Roadway,Maintenance & Management,MCL
